Wavelength (nm),Corrected Intensity
187.826095581,1.96395091589
188.173980713,1.96395091589
188.521789551,1.82392163135
188.869552612,2.05325908589
189.21723938,3.97451168657
189.564849854,1.66629080724
189.912414551,1.4102336014
190.259902954,1.81175577991
190.607330322,1.29918302909
190.954696655,1.51552391547
191.301986694,1.45132755328
191.649215698,1.26110467581
191.996383667,2.30344824966
192.343475342,3.51675982474
192.69052124,2.65469516233
193.037490845,1.90708206684
193.384399414,1.95934598864
193.731231689,5.57073616773
194.078018188,4.78067641481
194.424728394,2.6051949378
194.771362305,2.15743860507
195.117950439,1.79998192428
195.46446228,3.28087859359
195.810913086,3.87197702306
196.157302856,3.47204226692
196.503631592,13.8349154265
196.849884033,-8.56614289011
197.196075439,6.88025978112
197.542205811,5.54452757322
197.888275146,-4.03948454531
198.234268188,-37.7759209315
198.580215454,-12.8537303998
198.926086426,-3.30554559973
199.271881104,-2.69954883072
199.617630005,-2.02614929818
199.963302612,-2.07757710702
200.308929443,-6.91967915655
200.654464722,-12.1774100094
200.999954224,-2.01130810352
201.34538269,-1.07671261554
201.690734863,-4.37248187309
202.036026001,-7.19662702679
202.381256104,-0.465099938331
202.726425171,-0.70311223053
203.071517944,-3.21210832715
203.416564941,-2.77655952606
203.761535645,-1.7378900909
204.106445312,-1.10118659614
204.451293945,-1.79826278654
204.796066284,-4.3219291282
205.140777588,-2.48878079572
205.485443115,-1.15945848525
205.830032349,-0.889056434525
206.174545288,-1.00019238377
206.519012451,-1.56655421793
206.863418579,-1.31609430261
207.207748413,-0.486921696164
207.552017212,-0.800065260042
207.896224976,-1.76703425704
208.240371704,-0.843949403737
208.584457397,-0.949601016583
208.928466797,-1.13664669814
209.27243042,-0.581786672544
209.616317749,-0.73345547124
209.960144043,-0.479365532002
210.303894043,-0.441434007049
210.647598267,-0.568487003036
210.991241455,-0.613644272733
211.33480835,-0.749388313011
211.678329468,-0.764696602518
212.021774292,-0.8701334727
212.365158081,-0.835770859886
212.708480835,-1.04256795601
213.051727295,-1.19423098039
213.394927979,-1.40822531955
213.738067627,-0.863204211303
214.081130981,-0.437205814594
214.424133301,-0.371592562865
214.767074585,-0.52711075258
215.109954834,-0.539279258627
215.452774048,-0.562801813149
215.795532227,-0.634659794243
216.13822937,-0.469471641273
216.48085022,-0.493349132222
216.823425293,-0.536377431727
217.165924072,-0.352551162236
217.508361816,-0.236334958661
