Wavelength (nm),Corrected Intensity
187.826095581,0.991029405088
188.173980713,0.991029405088
188.521789551,1.0241874906
188.869552612,1.22881757699
189.21723938,1.14477444751
189.564849854,1.36274064715
189.912414551,1.50550929483
190.259902954,1.40164828814
190.607330322,1.84487978057
190.954696655,1.7308908905
191.301986694,1.62304711252
191.649215698,2.1666420877
191.996383667,2.49218221706
192.343475342,1.99895266538
192.69052124,1.52512949693
193.037490845,1.87200503471
193.384399414,2.72150012292
193.731231689,1.59409422132
194.078018188,1.35139384287
194.424728394,1.38730805242
194.771362305,1.88499311153
195.117950439,2.54135306985
195.46446228,1.51076636374
195.810913086,1.10077834683
196.157302856,1.4981767698
196.503631592,2.51092407905
196.849884033,1.52566698503
197.196075439,0.932827729284
197.542205811,1.88977834202
197.888275146,1.65501393244
198.234268188,1.49105708093
198.580215454,0.987565693105
198.926086426,1.42947942638
199.271881104,2.23120828853
199.617630005,2.04628816319
199.963302612,2.51954120289
200.308929443,2.00119563374
200.654464722,1.97743404529
200.999954224,4.11789113499
201.34538269,-8.82628722239
201.690734863,6.35725359903
202.036026001,1.93489126571
202.381256104,1.57072853339
202.726425171,2.84401647317
203.071517944,2.44057333511
203.416564941,1.80890133303
203.761535645,4.55983252617
204.106445312,5.43312590485
204.451293945,3.53215115827
204.796066284,3.41046799423
205.140777588,5.41755161959
205.485443115,3.31372539183
205.830032349,10.6005931699
206.174545288,-56.0806780915
206.519012451,2.88596468699
206.863418579,2.88860567917
207.207748413,2.97087109919
207.552017212,6.67422066925
207.896224976,9.8041366943
208.240371704,5.18633741942
208.584457397,4.8732600132
208.928466797,8.72629283391
209.27243042,-122260182.381
209.616317749,4.20167023158
209.960144043,3.93639078393
210.303894043,-79.7201380491
210.647598267,-34.0749139994
210.991241455,6.53538546963
211.33480835,4.59718770702
211.678329468,33.5689770597
212.021774292,45.7660592059
212.365158081,3.95392273532
212.708480835,16.8465007071
213.051727295,-9.3801852042
213.394927979,-3.12127095858
213.738067627,-2.67002147128
214.081130981,-133.298108981
214.424133301,-19.9114263799
214.767074585,-7.96887801605
215.109954834,-4.15737995682
215.452774048,-24.9072043819
215.795532227,54.5122474654
216.13822937,-2.10393970267
216.48085022,-1.32012573146
216.823425293,-3.19118757756
217.165924072,-2.23315231156
217.508361816,-0.996837424781
217.850738525,-1.05606758372
218.193054199,-0.886554499056
218.535308838,-1.01373956967
218.877502441,-1.26407180016
219.21963501,-0.639020660827
219.561691284,-1.01479025168
219.903686523,-1.60503177476
220.245635986,-1.26885527407
220.587509155,-0.771359673228
220.929321289,-0.470263938615
221.271087646,-0.513393394282
221.61277771,-0.580614047105
221.954406738,-0.556344202847
222.295974731,-0.376009360599
222.637481689,-0.310050088886
222.978912354,-0.398900002932
223.320297241,-0.350309017291
223.661621094,-0.214278730078
224.002868652,-0.209660770811
224.344070435,-0.226983981459
224.685195923,-0.191584941262
225.026275635,-0.237533308375
225.367279053,-0.259972150837
225.708221436,-0.214353851693
226.049102783,-0.190174934731
226.389923096,-0.147491178891
226.730682373,-0.101096171138
227.071380615,-0.144758275256
227.412033081,-0.128545240919
227.752593994,-0.113231797837
228.093109131,-0.128262155863
228.433563232,-0.0910189639745
228.773956299,-0.0728869705776
229.11428833,-0.0780664636306
229.454559326,-0.0753333093796
229.794769287,-0.0703300155436
230.134902954,-0.0866607278317
230.474990845,-0.0806144472048
230.815002441,-0.0581718225237
231.154968262,-0.0658531361964
231.494873047,-0.0785920029945
231.834716797,-0.0763756115728
232.174484253,-0.0568384111955
232.514190674,-0.0588259775333
232.853851318,-0.0574324961088
233.193450928,-0.0396966509326
233.532974243,-0.0611744173806
233.872451782,-0.0680738204585
234.211853027,-0.0574618952675
234.551208496,-0.0517414466259
234.89050293,-0.048196865145
235.229721069,-0.0372703273262
235.568878174,-0.0319500973824
235.907989502,-0.0468612418802
236.247039795,-0.0527448904847
236.586013794,-0.0453596767152
236.924942017,-0.0400811837428
237.263793945,-0.0360363554794
237.602600098,-0.0269846369324
237.941345215,-0.0291525371561
238.280014038,-0.0315935695177
238.618637085,-0.0351247073456
238.957199097,-0.0271787280637
239.295684814,-0.018589586043
239.634124756,-0.0191234511393
239.972503662,-0.0215670640651
240.310821533,-0.0243491626435
240.649078369,-0.0245538291446
240.98727417,-0.0263979412251
241.325408936,-0.0251414135103
241.663482666,-0.028371269754
242.001495361,-0.0206014226354
242.339447021,-0.0205718108644
242.677337646,-0.0221956360641
243.015167236,-0.0143730717154
243.352935791,-0.021394095407
243.690643311,-0.0264121991992
244.028305054,-0.0227165830832
244.365905762,-0.021406266921
244.703430176,-0.0211603419158
245.040893555,-0.0219368054127
245.378311157,-0.0212852386377
245.715667725,-0.0170979365497
246.052947998,-0.0139504005236
246.390182495,-0.0155544563162
246.727355957,-0.0199066150444
247.064468384,-0.0247484303412
247.401519775,-0.0210921622283
247.738510132,-0.0186468970736
248.075439453,-0.0156608896577
248.412322998,-0.0165426395263
248.749130249,-0.0170034528307
249.085876465,-0.0125069000812
249.422576904,-0.0168821636443
249.759216309,-0.0180390771659
250.095794678,-0.0167848775479
250.432312012,-0.0171830124369
250.768768311,-0.0160030277451
251.105163574,-0.0170718557476
251.441497803,-0.0141884390676
251.777770996,-0.0134291206735
252.113983154,-0.0172856778322
252.450134277,-0.0182842306913
252.786254883,-0.0158356081971
253.122283936,-0.0148393771484
253.458267212,-0.0177156859447
253.794189453,-0.0147956832341
254.1300354,-0.0122089076061
254.46585083,-0.0144130880667
254.801605225,-0.0178094328613
255.137283325,-0.0178569365441
255.472900391,-0.0163753569988
255.80847168,-0.0140627338285
256.143981934,-0.0157634459803
256.479431152,-0.0170905584445
256.814819336,-0.0131254665211
257.150146484,-0.0111745021802
257.485412598,-0.0126424422081
257.820617676,-0.0130531131467
258.155792236,-0.014472526174
258.490875244,-0.0192993455139
258.825927734,-0.0156821694018
259.160888672,-0.00853193864682
259.495819092,-0.00967667459782
259.830688477,-0.0122312587474
260.165496826,-0.0098876258545
260.500244141,-0.0124497731289
260.834899902,-0.0112297492757
261.169555664,-0.00997543378419
261.504119873,-0.0147286235489
261.838623047,-0.0130716581221
262.173065186,-0.0100600847929
262.507446289,-0.0129736381087
262.841796875,-0.0153266054663
263.176086426,-0.0143532673527
263.510314941,-0.0121329602293
263.844451904,-0.0127659371931
264.17855835,-0.0142140768423
264.51260376,-0.0118498616211
264.846588135,-0.012833779434
265.180511475,-0.0156436178255
265.514373779,-0.0148844478253
265.848205566,-0.0138135082881
266.181945801,-0.0156604503969
266.515625,-0.0117679064237
266.849273682,-0.012290949974
267.182861328,-0.0178500500945
267.516387939,-0.0159195221062
267.849853516,-0.0125184298369
268.183258057,-0.010559796514
268.516601562,-0.00783715335711
268.849884033,-0.00988522632134
269.183105469,-0.013731627894
269.516296387,-0.0122805606215
269.84942627,-0.00988097257769
270.1824646,-0.0134111312926
270.515472412,-0.0158420810848
270.848419189,-0.0151021973551
271.181304932,-0.0136663552173
271.514129639,-0.009726137398
271.846923828,-0.00962902332068
272.179626465,-0.0155390216817
272.512268066,-0.0157252498318
272.84487915,-0.0133279172906
273.177429199,-0.0134565324098
273.509887695,-0.0121805127957
273.842315674,-0.00793347438656
274.174682617,-0.0103655841594
