Wavelength (nm),Corrected Intensity
187.826095581,1.15195882203
188.173980713,1.15195882203
188.521789551,1.31923002506
188.869552612,1.85667972531
189.21723938,1.53242570276
189.564849854,1.34223197314
189.912414551,1.39300405527
190.259902954,1.35466249127
190.607330322,1.52792061079
190.954696655,1.62145858822
191.301986694,1.57889296857
191.649215698,1.6932025027
191.996383667,1.80444685661
192.343475342,1.67913824393
192.69052124,1.86875329995
193.037490845,2.52357558171
193.384399414,1.85119343175
193.731231689,1.06826794657
194.078018188,1.12668950477
194.424728394,1.24886380012
194.771362305,1.71543480183
195.117950439,2.05328221376
195.46446228,1.42012134931
195.810913086,1.3152799669
196.157302856,1.8866339632
196.503631592,2.13106497337
196.849884033,1.73290875291
197.196075439,2.56869699883
197.542205811,2.42840155355
197.888275146,1.41231659064
198.234268188,1.82591446339
198.580215454,1.57758008072
198.926086426,2.22021330146
199.271881104,3.0949144275
199.617630005,2.37650823469
199.963302612,2.46223520264
200.308929443,1.86127981703
200.654464722,2.26802733386
200.999954224,4.38874224211
201.34538269,-6.60754809972
201.690734863,5.61844191628
202.036026001,2.12043503961
202.381256104,1.75272468056
202.726425171,2.62803044415
203.071517944,2.45038658877
203.416564941,1.84865601469
203.761535645,3.32115256418
204.106445312,4.4141963854
204.451293945,2.69613096098
204.796066284,2.78330948105
205.140777588,4.69833527016
205.485443115,3.23454529043
205.830032349,10.6586127573
206.174545288,-67.9946811316
206.519012451,3.254611835
206.863418579,3.13282407451
207.207748413,3.87764954806
207.552017212,8.27695226294
207.896224976,11.4353131085
208.240371704,5.44633141992
208.584457397,3.98662126871
208.928466797,8.48878966965
209.27243042,-166340687.752
209.616317749,5.71656857055
209.960144043,4.76364207674
210.303894043,-59.4424405194
210.647598267,-28.9687411548
210.991241455,7.75887618114
211.33480835,4.41053054394
211.678329468,28.965682238
212.021774292,30.5823616812
212.365158081,3.25787323958
212.708480835,23.3290937496
213.051727295,-10.7963924104
213.394927979,-3.86014002424
213.738067627,-3.78818722863
214.081130981,-151.108775981
214.424133301,-24.7615432681
214.767074585,-9.07128152098
215.109954834,-4.26368755778
215.452774048,-24.5197867509
215.795532227,52.393195921
216.13822937,-2.1310271235
216.48085022,-1.79348564004
216.823425293,-3.4225650156
217.165924072,-1.95377390101
217.508361816,-1.13606925768
217.850738525,-1.63068815553
218.193054199,-1.10443106474
218.535308838,-0.812359810311
218.877502441,-0.969422066454
219.21963501,-0.872238166433
219.561691284,-1.44818606868
219.903686523,-1.6953626707
220.245635986,-1.21699703453
220.587509155,-0.943142690437
220.929321289,-0.674504861856
221.271087646,-0.493419435684
221.61277771,-0.48008868092
221.954406738,-0.476873013149
222.295974731,-0.337226877678
222.637481689,-0.25142412615
222.978912354,-0.318059864896
223.320297241,-0.303015345832
223.661621094,-0.260635355992
224.002868652,-0.300425367058
224.344070435,-0.28186252344
224.685195923,-0.254233230175
225.026275635,-0.26243059326
225.367279053,-0.212606797103
225.708221436,-0.179948880714
226.049102783,-0.207729350309
226.389923096,-0.137242305135
226.730682373,-0.0859289937907
227.071380615,-0.13332548629
227.412033081,-0.144130506784
227.752593994,-0.159982922416
228.093109131,-0.0960334783259
228.433563232,-0.0455455343959
228.773956299,-0.0786895494867
229.11428833,-0.0896720380983
229.454559326,-0.0723449432779
229.794769287,-0.0593691977767
230.134902954,-0.0720772234472
230.474990845,-0.0840028817067
230.815002441,-0.0774761492807
231.154968262,-0.0695407186406
231.494873047,-0.0650122782582
231.834716797,-0.0762193485445
232.174484253,-0.0703719844358
232.514190674,-0.0450380354857
232.853851318,-0.0400600427641
233.193450928,-0.048112955136
233.532974243,-0.0570088068948
233.872451782,-0.0526831048088
234.211853027,-0.0494199246746
234.551208496,-0.0435640580459
234.89050293,-0.038830789006
235.229721069,-0.0394666201964
235.568878174,-0.0372001612091
235.907989502,-0.0411198811541
236.247039795,-0.0468683073369
236.586013794,-0.0400829616235
236.924942017,-0.0364628219019
237.263793945,-0.0423437089589
237.602600098,-0.0255889969359
237.941345215,-0.0240318721189
238.280014038,-0.040796874998
238.618637085,-0.0401264986022
238.957199097,-0.0324740393982
239.295684814,-0.0274016663552
239.634124756,-0.0284302633685
239.972503662,-0.0268568710745
240.310821533,-0.0157154555821
240.649078369,-0.0217983045784
240.98727417,-0.0325991211284
241.325408936,-0.0265038320951
241.663482666,-0.0271407806807
242.001495361,-0.0189961238612
242.339447021,-0.0216406732904
242.677337646,-0.0239662223958
243.015167236,-0.0141372878925
243.352935791,-0.0197424416448
243.690643311,-0.0279393048965
244.028305054,-0.0219723544316
244.365905762,-0.0176031747482
244.703430176,-0.0125508404713
245.040893555,-0.018271950034
245.378311157,-0.0281322573893
245.715667725,-0.0247003145888
246.052947998,-0.0184617455352
246.390182495,-0.0177142381399
246.727355957,-0.0237581124484
247.064468384,-0.0269879390979
247.401519775,-0.0221343964768
247.738510132,-0.0141527798826
248.075439453,-0.0141180802805
248.412322998,-0.0158983120774
248.749130249,-0.0140624983585
249.085876465,-0.0167463108741
249.422576904,-0.023651958151
249.759216309,-0.0194217464222
250.095794678,-0.0170225604637
250.432312012,-0.0181218557627
250.768768311,-0.0159604154208
251.105163574,-0.0188127825181
251.441497803,-0.0164532666395
251.777770996,-0.0124540857881
252.113983154,-0.0167150059485
252.450134277,-0.0148603180786
252.786254883,-0.0129300286483
253.122283936,-0.0187504541978
253.458267212,-0.0179277117097
253.794189453,-0.00972304073053
254.1300354,-0.0122963747942
254.46585083,-0.0135171951758
254.801605225,-0.0126664009258
255.137283325,-0.0163558948088
255.472900391,-0.0146202561593
255.80847168,-0.0117535535918
256.143981934,-0.0123964055428
256.479431152,-0.0158450747097
256.814819336,-0.0130886190325
257.150146484,-0.00842414724174
257.485412598,-0.0113381929273
257.820617676,-0.0138157629465
258.155792236,-0.0168790303748
258.490875244,-0.0203085328713
258.825927734,-0.0141750887476
259.160888672,-0.0084972712682
259.495819092,-0.0114289396352
259.830688477,-0.0165537037356
260.165496826,-0.0167416049084
260.500244141,-0.014871730012
260.834899902,-0.0104300944428
261.169555664,-0.00862159450982
261.504119873,-0.0124542061713
261.838623047,-0.0141409235703
262.173065186,-0.0113297657987
262.507446289,-0.0133710474415
262.841796875,-0.0166931237175
263.176086426,-0.0155034191747
263.510314941,-0.0131685678957
263.844451904,-0.0141333689368
264.17855835,-0.0170801458318
264.51260376,-0.0154626094428
264.846588135,-0.0187621120228
265.180511475,-0.0194861870646
265.514373779,-0.0160259144087
265.848205566,-0.0149543582186
266.181945801,-0.0154135496847
266.515625,-0.0147172946336
266.849273682,-0.0121518570216
267.182861328,-0.0141691508241
267.516387939,-0.0153462845118
267.849853516,-0.0161392695039
268.183258057,-0.0136468829059
268.516601562,-0.0101132134065
268.849884033,-0.0123871245711
269.183105469,-0.0154889995033
269.516296387,-0.0153857245249
269.84942627,-0.0127600575939
270.1824646,-0.0122032163058
270.515472412,-0.0130346995757
270.848419189,-0.0146454561232
271.181304932,-0.0150060612668
271.514129639,-0.0121348192248
271.846923828,-0.0126780204843
272.179626465,-0.0186509666606
272.512268066,-0.0179954866823
272.84487915,-0.0146657034652
273.177429199,-0.0115399211516
273.509887695,-0.0117264993732
273.842315674,-0.00955672569547
274.174682617,-0.00747993169558
274.507019043,-0.0122172285254
274.839263916,-0.0140738892788
275.171478271,-0.0142507369387
275.503601074,-0.0107230162035
275.835693359,-0.0116040024288
276.167724609,-0.0141794393492
276.499694824,-0.0132655467736
276.831604004,-0.013044752181
277.163452148,-0.0140517273297
277.495269775,-0.0161470541015
277.82699585,-0.0173063444402
278.158691406,-0.0152834533662
278.490325928,-0.0134094423456
278.821899414,-0.0139427131596
279.153411865,-0.0112293166324
279.484863281,-0.0125817853403
279.816253662,-0.0164054960233
280.147613525,-0.0115997542681
280.478912354,-0.011024963033
280.810119629,-0.016350421297
281.141296387,-0.014947761831
281.472412109,-0.0137490219596
281.803497314,-0.0130773203565
282.134490967,-0.0109290724846
282.465454102,-0.0130940488049
282.796325684,-0.0172887127254
283.127166748,-0.0158483642612
