Wavelength (nm),Corrected Intensity
187.826095581,1.68491543173
188.173980713,1.68491543173
188.521789551,0.906341855043
188.869552612,0.952959392093
189.21723938,4.0772507557
189.564849854,3.91857323491
189.912414551,4.60259350412
190.259902954,3.27619011034
190.607330322,1.92212888201
190.954696655,1.38325691067
191.301986694,1.23447433695
191.649215698,1.53828668259
191.996383667,1.75841168066
192.343475342,1.26326461441
192.69052124,1.25247906951
193.037490845,2.49642814823
193.384399414,2.59859356535
193.731231689,2.80157570902
194.078018188,3.04849966797
194.424728394,1.54120736223
194.771362305,1.80809994622
195.117950439,2.77554147034
195.46446228,2.53874834796
195.810913086,3.39576534899
196.157302856,3.90356481255
196.503631592,2.32406282828
196.849884033,1.93505079671
197.196075439,1.48233343919
197.542205811,1.86288259395
197.888275146,5.17082751981
198.234268188,2.51386540294
198.580215454,2.26327548479
198.926086426,4.30952846138
199.271881104,3.77151341459
199.617630005,6.20775550882
199.963302612,14.2404247
200.308929443,3.56354345975
200.654464722,6.493665189
200.999954224,-29.5477877253
201.34538269,31.7866887212
201.690734863,7.55372592074
202.036026001,-29.0958455897
202.381256104,-6.77357071298
202.726425171,-19.3673719546
203.071517944,-17.7019302196
203.416564941,12.3082711969
203.761535645,8.94745064254
204.106445312,-9.28029247327
204.451293945,10.7807650394
204.796066284,5.27069834348
205.140777588,-2.81612855347
205.485443115,-1.84735918044
205.830032349,-2.03547197794
206.174545288,-1.72761789999
206.519012451,-1.23684726724
206.863418579,-1.45633755819
207.207748413,-0.672462579317
207.552017212,-0.64207281835
207.896224976,-1.71703441745
208.240371704,-2.2333507856
208.584457397,-1.67073790195
208.928466797,-1.6413325541
209.27243042,-2.37427427831
209.616317749,-1.18211713581
209.960144043,-1.15445871266
210.303894043,-1.10835734023
210.647598267,-1.05977949516
210.991241455,-0.820028357931
211.33480835,-0.173128458693
211.678329468,-0.543661334581
212.021774292,-1.21191146426
212.365158081,-0.911843965992
212.708480835,-0.855504936435
213.051727295,-1.29449123056
213.394927979,-1.24103210275
213.738067627,-0.582144297084
214.081130981,-0.526344834363
214.424133301,-0.804126074062
214.767074585,-1.04753458
215.109954834,-0.67168360626
215.452774048,-0.40676869256
215.795532227,-0.354761244924
216.13822937,-0.233964757962
216.48085022,-0.273241979055
216.823425293,-0.381489896552
217.165924072,-0.331587840947
217.508361816,-0.396905830938
217.850738525,-0.547154961246
218.193054199,-0.606253596791
218.535308838,-0.63741880165
218.877502441,-0.529165071393
219.21963501,-0.405281161733
219.561691284,-0.294551643505
219.903686523,-0.291256914995
220.245635986,-0.395056329998
220.587509155,-0.477928610505
220.929321289,-0.321937222644
221.271087646,-0.253692196116
221.61277771,-0.341146086045
221.954406738,-0.298524352463
222.295974731,-0.248083845457
222.637481689,-0.150895508482
222.978912354,-0.159085440637
223.320297241,-0.195474548781
223.661621094,-0.165025947016
224.002868652,-0.206302520054
224.344070435,-0.179370175357
224.685195923,-0.196724390658
225.026275635,-0.203735238336
225.367279053,-0.139398572089
225.708221436,-0.170435305855
226.049102783,-0.186208946523
226.389923096,-0.157543729598
226.730682373,-0.138062195506
227.071380615,-0.131989392781
227.412033081,-0.144431484245
227.752593994,-0.121530560102
228.093109131,-0.0883553871384
228.433563232,-0.095041731586
228.773956299,-0.12137801194
229.11428833,-0.127839543929
229.454559326,-0.105229907656
229.794769287,-0.0841896123344
230.134902954,-0.0862412757019
230.474990845,-0.0706841610787
230.815002441,-0.0828241279897
231.154968262,-0.0753152266263
231.494873047,-0.0670316582775
231.834716797,-0.0716074791184
232.174484253,-0.058994370488
232.514190674,-0.0538071445
232.853851318,-0.0599716956084
233.193450928,-0.0615340983352
233.532974243,-0.0474915919732
233.872451782,-0.0687322678032
234.211853027,-0.0634145410464
234.551208496,-0.0454484607274
234.89050293,-0.0353226416915
235.229721069,-0.0277938268009
235.568878174,-0.0324465724484
235.907989502,-0.0277308977289
236.247039795,-0.041398946147
236.586013794,-0.0478978616813
236.924942017,-0.0446249627279
237.263793945,-0.0386809658146
237.602600098,-0.0296974179222
237.941345215,-0.0254711158309
238.280014038,-0.0311963201143
238.618637085,-0.0284432316964
238.957199097,-0.027329791042
239.295684814,-0.0357851880565
239.634124756,-0.0319224112659
239.972503662,-0.0324376087664
240.310821533,-0.0340854977941
240.649078369,-0.0327370459979
240.98727417,-0.0259973817289
241.325408936,-0.0244885231297
241.663482666,-0.0259049752636
242.001495361,-0.0190808377983
242.339447021,-0.0197907072925
242.677337646,-0.0239458461907
243.015167236,-0.0201734853295
243.352935791,-0.024545512746
243.690643311,-0.032726720984
244.028305054,-0.0331428910761
244.365905762,-0.0233780432951
244.703430176,-0.0156858336415
245.040893555,-0.0258124220955
245.378311157,-0.0237804348146
245.715667725,-0.00982494537217
246.052947998,-0.017905647475
246.390182495,-0.0286675018268
246.727355957,-0.0244346747142
247.064468384,-0.0276625335435
247.401519775,-0.0319245256485
247.738510132,-0.0262372444459
248.075439453,-0.0250422850322
248.412322998,-0.0270273477705
248.749130249,-0.0285990261323
249.085876465,-0.0287048421858
249.422576904,-0.0255199494995
249.759216309,-0.0212831783229
250.095794678,-0.0214335466898
250.432312012,-0.0249237689571
250.768768311,-0.0192734737947
251.105163574,-0.0159150395488
251.441497803,-0.0160926866201
251.777770996,-0.0158236429894
252.113983154,-0.012194457371
252.450134277,-0.013889737333
252.786254883,-0.0180364860512
253.122283936,-0.0186606365766
253.458267212,-0.017676872628
253.794189453,-0.0151815938342
254.1300354,-0.016443999583
254.46585083,-0.0139212508603
254.801605225,-0.0123231093337
255.137283325,-0.0144149145303
255.472900391,-0.0161469018657
255.80847168,-0.0147088434439
256.143981934,-0.011330799767
256.479431152,-0.0136220526681
256.814819336,-0.0180026680479
257.150146484,-0.0153485006925
257.485412598,-0.013976168762
257.820617676,-0.0142143064952
258.155792236,-0.0145205878734
258.490875244,-0.013539570559
258.825927734,-0.0119832985939
259.160888672,-0.0125828034452
259.495819092,-0.0113665233912
259.830688477,-0.0105634602441
260.165496826,-0.0113033399819
260.500244141,-0.0144360816779
260.834899902,-0.0176012372564
261.169555664,-0.0154208057209
261.504119873,-0.0123307291652
261.838623047,-0.0113491120091
262.173065186,-0.00885556356852
262.507446289,-0.0091163418647
262.841796875,-0.0138734653786
263.176086426,-0.0175165950439
263.510314941,-0.0131395327934
263.844451904,-0.0109281323901
264.17855835,-0.0142124595268
264.51260376,-0.0152467091126
264.846588135,-0.013540222069
265.180511475,-0.0105971145332
265.514373779,-0.0118754204234
265.848205566,-0.0113539657219
266.181945801,-0.00861945112722
266.515625,-0.0100957831458
266.849273682,-0.0127560209489
267.182861328,-0.0171517625384
267.516387939,-0.0198205373051
267.849853516,-0.0142637370696
268.183258057,-0.0090479266889
268.516601562,-0.00964767295288
268.849884033,-0.00993700715738
269.183105469,-0.0117004260218
269.516296387,-0.0144787962964
269.84942627,-0.0133053668846
270.1824646,-0.0151570177538
270.515472412,-0.0171023008821
270.848419189,-0.0131683513095
271.181304932,-0.0108946621248
271.514129639,-0.0132838482389
