Wavelength (nm),Corrected Intensity
187.826095581,1.81079899658
188.173980713,1.81079899658
188.521789551,0.869352270018
188.869552612,1.26386403984
189.21723938,6.46401053632
189.564849854,3.3078857995
189.912414551,4.40001626764
190.259902954,4.08486823858
190.607330322,2.2841347706
190.954696655,1.59517226866
191.301986694,1.40185293754
191.649215698,2.14939631342
191.996383667,1.97299191824
192.343475342,1.30706059101
192.69052124,1.19327835442
193.037490845,1.87581727992
193.384399414,2.3671359776
193.731231689,2.80327736591
194.078018188,2.49236164172
194.424728394,1.19110745729
194.771362305,1.44118592907
195.117950439,2.23410592803
195.46446228,2.76390791351
195.810913086,4.53422053186
196.157302856,3.70125656155
196.503631592,1.51458913753
196.849884033,1.38776485358
197.196075439,1.82044744026
197.542205811,2.56394767091
197.888275146,5.37193044247
198.234268188,2.65784209806
198.580215454,2.18396531552
198.926086426,3.60758295488
199.271881104,3.57424749744
199.617630005,6.87123770717
199.963302612,18.333534969
200.308929443,3.32369025133
200.654464722,5.23924694971
200.999954224,-24.7708119355
201.34538269,28.5925718329
201.690734863,7.68941537676
202.036026001,-22.7279307717
202.381256104,-5.40817054066
202.726425171,-18.4520431681
203.071517944,-14.3232452416
203.416564941,9.79650667724
203.761535645,6.76254165732
204.106445312,-7.22726267746
204.451293945,9.1254003189
204.796066284,5.0164007742
205.140777588,-3.01632130835
205.485443115,-1.32865803453
205.830032349,-1.97864213828
206.174545288,-1.95540729359
206.519012451,-1.1979034835
206.863418579,-1.7133079325
207.207748413,-0.838347269791
207.552017212,-0.867375103974
207.896224976,-1.96434469375
208.240371704,-1.62981402809
208.584457397,-1.39440898356
208.928466797,-1.792001016
209.27243042,-2.46369169786
209.616317749,-1.4047110323
209.960144043,-1.43652676201
210.303894043,-1.276016109
210.647598267,-0.908578507823
210.991241455,-0.708102964318
211.33480835,-0.330517437322
211.678329468,-0.711471811971
212.021774292,-1.21995201086
212.365158081,-0.75981036777
212.708480835,-0.785021242021
213.051727295,-1.29519986924
213.394927979,-1.05595384403
213.738067627,-0.515866732362
214.081130981,-0.445888493474
214.424133301,-0.71707136778
214.767074585,-1.23594111338
215.109954834,-0.889485769534
215.452774048,-0.541682456814
215.795532227,-0.508263335587
216.13822937,-0.349752899697
216.48085022,-0.376831872082
216.823425293,-0.560198501025
217.165924072,-0.379403692612
217.508361816,-0.447025864389
217.850738525,-0.758847715059
218.193054199,-0.691621908746
218.535308838,-0.41343415036
218.877502441,-0.301617694833
219.21963501,-0.391764955869
219.561691284,-0.380270607762
219.903686523,-0.427933089803
220.245635986,-0.436533465314
220.587509155,-0.341259700757
220.929321289,-0.211054161619
221.271087646,-0.210272839812
221.61277771,-0.291077329528
221.954406738,-0.236054461356
222.295974731,-0.25706163213
222.637481689,-0.210847455326
222.978912354,-0.182025490532
223.320297241,-0.210557469738
223.661621094,-0.216251426233
224.002868652,-0.208191359997
224.344070435,-0.147658019424
224.685195923,-0.172734417821
225.026275635,-0.20528592972
225.367279053,-0.188810963199
225.708221436,-0.19801568319
226.049102783,-0.175379984343
226.389923096,-0.143048025981
226.730682373,-0.126008358866
227.071380615,-0.13768587519
227.412033081,-0.145500517603
227.752593994,-0.125326008319
228.093109131,-0.127056454464
228.433563232,-0.121046701231
228.773956299,-0.135503947924
229.11428833,-0.145612266636
229.454559326,-0.0799544758407
229.794769287,-0.0641415000434
230.134902954,-0.0896215364602
230.474990845,-0.0760878880197
230.815002441,-0.0847616010507
231.154968262,-0.0641484528027
231.494873047,-0.0687853137154
231.834716797,-0.0796942743934
232.174484253,-0.0620946918973
232.514190674,-0.0533662133835
232.853851318,-0.0448597322802
233.193450928,-0.0415829279284
233.532974243,-0.0400048764381
233.872451782,-0.0687640504534
234.211853027,-0.0622140378793
234.551208496,-0.0419717979165
234.89050293,-0.0360811909867
235.229721069,-0.0316537312865
235.568878174,-0.0168815936347
235.907989502,-0.00764712846786
236.247039795,-0.0280262496736
236.586013794,-0.0424754253304
236.924942017,-0.0356959038607
237.263793945,-0.0227393246227
237.602600098,-0.0308651287324
237.941345215,-0.0388349643583
238.280014038,-0.037373372956
238.618637085,-0.0324271225529
238.957199097,-0.0355521744807
239.295684814,-0.043790555076
239.634124756,-0.0351456850769
239.972503662,-0.0283275924289
240.310821533,-0.0308015164792
240.649078369,-0.0269861317013
240.98727417,-0.022103911572
241.325408936,-0.0260271576943
241.663482666,-0.0278229715397
242.001495361,-0.0234190078499
242.339447021,-0.01821822854
242.677337646,-0.0185586998846
243.015167236,-0.0239225389396
243.352935791,-0.0255224575684
243.690643311,-0.0214826508702
244.028305054,-0.0222606849883
244.365905762,-0.0179401259216
244.703430176,-0.0125918498365
245.040893555,-0.0243571365523
245.378311157,-0.0289371662415
245.715667725,-0.0198799685129
246.052947998,-0.0203368804471
246.390182495,-0.0257693432801
246.727355957,-0.0242752458035
247.064468384,-0.0232742861269
247.401519775,-0.0233625215012
247.738510132,-0.0186404824478
248.075439453,-0.0153839809579
248.412322998,-0.0196722638879
248.749130249,-0.022001527834
249.085876465,-0.0250751338182
249.422576904,-0.027209935681
249.759216309,-0.0217427914491
250.095794678,-0.0195165978477
250.432312012,-0.0234542631272
250.768768311,-0.0156779283544
251.105163574,-0.0163536617069
251.441497803,-0.0221989155098
251.777770996,-0.0172396027416
252.113983154,-0.0160982193773
252.450134277,-0.0202015947781
252.786254883,-0.0227082476704
253.122283936,-0.0166931469892
253.458267212,-0.0116490930339
253.794189453,-0.0150593697974
254.1300354,-0.018143377347
254.46585083,-0.0162172929098
254.801605225,-0.0144556994816
255.137283325,-0.0142988745407
255.472900391,-0.0141634066122
255.80847168,-0.0129191051348
256.143981934,-0.0150497001522
256.479431152,-0.0199153574662
256.814819336,-0.0197218389945
257.150146484,-0.0148765312892
257.485412598,-0.0135140012871
257.820617676,-0.0134245756289
258.155792236,-0.0138246345824
258.490875244,-0.0124858893651
258.825927734,-0.0160762860017
259.160888672,-0.0177127298067
259.495819092,-0.0152534741486
259.830688477,-0.0131650777747
260.165496826,-0.00985334650314
260.500244141,-0.0148974600365
260.834899902,-0.0188482731305
261.169555664,-0.0164317808786
261.504119873,-0.0145489651398
261.838623047,-0.0144231030049
262.173065186,-0.00908321008003
262.507446289,-0.00912470878456
262.841796875,-0.0150877354227
263.176086426,-0.0176349529373
263.510314941,-0.0156141310551
263.844451904,-0.0125331427175
264.17855835,-0.0134645387408
264.51260376,-0.0135192674294
264.846588135,-0.0109417133954
265.180511475,-0.00888828686308
265.514373779,-0.0113518739509
265.848205566,-0.0126395731363
266.181945801,-0.00715243441487
266.515625,-0.00915492429705
266.849273682,-0.0163924903977
267.182861328,-0.0182365221825
267.516387939,-0.0156578396367
267.849853516,-0.0126702792127
268.183258057,-0.0132798195491
268.516601562,-0.0128128312123
268.849884033,-0.0105678762007
269.183105469,-0.00793901744561
269.516296387,-0.00874716684804
269.84942627,-0.0120324753257
270.1824646,-0.0147398011552
270.515472412,-0.0186038578614
270.848419189,-0.0169544795145
271.181304932,-0.0103774085012
271.514129639,-0.00888787740826
271.846923828,-0.00866467414275
272.179626465,-0.0121902905527
272.512268066,-0.0157783482525
272.84487915,-0.0154797496812
273.177429199,-0.0115219313213
273.509887695,-0.0124647247898
273.842315674,-0.0148260319347
274.174682617,-0.0118625125666
274.507019043,-0.0123565144769
274.839263916,-0.0146542904957
275.171478271,-0.0152485856551
275.503601074,-0.0121579682068
275.835693359,-0.0120335163963
276.167724609,-0.0155019057999
276.499694824,-0.0148858236457
276.831604004,-0.0112414204686
277.163452148,-0.0129473555956
277.495269775,-0.0131377971163
277.82699585,-0.0116325825149
278.158691406,-0.011753642788
278.490325928,-0.00915779037119
278.821899414,-0.00736769469118
279.153411865,-0.00578058738867
279.484863281,-0.00862662783134
279.816253662,-0.0119341269796
280.147613525,-0.0104702863212
280.478912354,-0.0103587488294
280.810119629,-0.00968614544409
281.141296387,-0.00927623571361
281.472412109,-0.0134309580681
281.803497314,-0.0170267408757
282.134490967,-0.0132759176499
282.465454102,-0.013763224383
282.796325684,-0.011628134019
283.127166748,-0.0108521179619
283.457946777,-0.0122870662502
283.788696289,-0.00930420017302
284.119354248,-0.0120228063455
284.449951172,-0.0138030273997
284.780517578,-0.0126168957566
285.111022949,-0.0137036739973
285.441467285,-0.0126920059247
285.771850586,-0.0083318999888
286.102172852,-0.00985878412086
286.432434082,-0.0107065476767
286.762664795,-0.0126621525087
287.092834473,-0.0136974821603
287.422943115,-0.0102774302448
287.752990723,-0.00859287298496
288.082977295,-0.0103122330921
288.41293335,-0.00963316835185
288.742797852,-0.00683271280168
289.072631836,-0.00961420648569
289.402404785,-0.0115260190091
289.732116699,-0.0109695424103
290.061767578,-0.0118936409182
290.391387939,-0.0100181344591
290.720947266,-0.00567248300371
291.050415039,-0.0096247385433
291.379852295,-0.0116132168997
291.709228516,-0.00921839955872
292.038574219,-0.0102538758217
292.367858887,-0.0110085904769
292.697052002,-0.0100256069727
293.0262146,-0.0092055318205
293.35534668,-0.0101849152082
293.684387207,-0.01051979522
294.013366699,-0.0100207785415
294.342315674,-0.00829029633573
294.671203613,-0.0037456351242
295.000030518,-0.00660791964259
295.328796387,-0.0119133181589
295.657531738,-0.00909027173694
295.986175537,-0.00925435575955
296.314788818,-0.0104897498529
296.643341064,-0.0106905529632
296.971832275,-0.00968530471408
297.300292969,-0.00840815170989
297.628662109,-0.00873601085297
297.957000732,-0.0100750017049
298.28527832,-0.0100401202049
298.613525391,-0.0106389361074
298.941680908,-0.0127694937439
299.269775391,-0.0103239268751
299.597839355,-0.0101242017797
299.925842285,-0.0105283229091
300.25378418,-0.00793854980338
300.581695557,-0.00884700358163
300.909545898,-0.0108168018457
301.237304688,-0.0123948185951
301.565063477,-0.010817778524
301.892730713,-0.00963430388169
302.220336914,-0.0101910205167
302.547912598,-0.0106068618165
302.875427246,-0.011803899628
303.202880859,-0.01176816961
303.530273438,-0.0107334793392
303.857635498,-0.00921312042184
304.184936523,-0.0104621177918
304.512176514,-0.0123268575969
304.839355469,-0.0131972556936
305.166503906,-0.0114307867472
305.493591309,-0.0104857196871
305.820617676,-0.00943468878795
306.147583008,-0.00758308785423
306.474487305,-0.0081156298457
306.801361084,-0.0101634478245
307.128173828,-0.0098588214726
307.454925537,-0.00856226932538
307.781616211,-0.00878211785628
308.108276367,-0.00713323597837
308.434844971,-0.00637878969338
308.761383057,-0.00678438942529
309.087890625,-0.0063955899307
309.414306641,-0.00494165540486
309.740692139,-0.00501032064667
310.067016602,-0.00477720973357
310.393280029,-0.00499937438966
310.719512939,-0.0032699412371
311.045654297,-0.00225151309687
311.371765137,-0.00396086446773
311.697814941,-0.00246711533319
312.023834229,-0.00238084383973
312.34979248,-0.00462005793024
312.67565918,-0.0066381922025
313.001525879,-0.00328655713709
313.327301025,0.00300478644132
313.653045654,0.00155995232657
313.978729248,0.00118938294685
314.304351807,0.00724316221654
314.62991333,0.00695676189434
314.955444336,0.00443237724272
315.280914307,0.00262370918388
315.606323242,0.00259240907025
315.93170166,0.00160145817559
316.257019043,0.00246641519477
316.582275391,0.00663726711468
316.907470703,0.00778299252977
317.23260498,0.00609032281742
317.55770874,0.00465537484957
317.882751465,0.00838406771674
318.207733154,0.0100462947905
318.532684326,0.00876943696998
318.857543945,0.0087520995673
319.182403564,0.01258762026
319.507171631,0.012436588938
319.83190918,0.0102709373797
320.156555176,0.0112616309141
320.481201172,0.00995225717383
320.805786133,0.0111582150758
321.130279541,0.0138894847196
321.454742432,0.0130114776557
321.779174805,0.00899878467513
322.103515625,0.00921014579336
322.42779541,0.0134207372513
322.752075195,0.0122230614232
323.076293945,0.0105751617119
323.400421143,0.0128830522141
323.72454834,0.0174452901004
324.048553467,0.0187068537906
324.372558594,0.0168796339134
324.696472168,0.0190815086031
325.020385742,0.0204208789062
325.344238281,0.0206471687455
325.667999268,0.0200359588696
325.991729736,0.022929149975
326.315429688,0.0230053100365
326.639038086,0.0238747093155
326.962615967,0.0250193106391
327.286132812,0.0233142308017
327.609588623,0.0241526180961
327.933044434,0.0258518828973
328.256378174,0.0246546003472
328.579711914,0.0241873493756
328.902954102,0.0242492165184
329.226165771,0.0262248416594
329.549316406,0.0271816952919
329.872436523,0.0263252336452
330.195495605,0.0256385258001
330.518493652,0.0241863498624
330.841430664,0.0250745953808
331.164367676,0.0247195346059
331.487182617,0.0238202947399
331.809997559,0.0286730567538
332.132751465,0.0343695911941
332.455444336,0.031681469263
332.778076172,0.0346407257876
333.10067749,0.0330767923964
333.423217773,0.0270986352275
333.745697021,0.0338481387633
334.068115234,0.0347494740941
334.390533447,0.0320127233613
334.712860107,0.0394758747144
335.03515625,0.039190620176
335.35736084,0.0334170551112
335.67956543,0.0316257389109
336.001678467,0.0354537830451
336.323760986,0.0392538134292
336.645812988,0.0421623226224
336.967773438,0.045892135399
337.289672852,0.047486334188
337.611572266,0.0496352577375
337.933410645,0.0531044392269
338.255157471,0.0563197545466
338.576904297,0.0524754544452
338.89855957,0.0536797229235
339.220184326,0.0591509940436
339.541748047,0.0578400853885
339.86328125,0.0610521429587
340.184753418,0.0592000085198
340.506164551,0.0552444031939
340.827514648,0.060305559203
341.148834229,0.0612140395657
341.470092773,0.0613480209283
341.791320801,0.0624007179348
342.112487793,0.0657344131372
342.43359375,0.0645228589934
342.754638672,0.0675495655299
343.075683594,0.0760558140385
343.396606445,0.0726251938434
343.717529297,0.0680287398543
344.038391113,0.0686433451374
344.359191895,0.0706163409668
344.679992676,0.0648299335326
345.000671387,0.0715805734557
345.321350098,0.0777429694909
345.641967773,0.0751577169111
345.962524414,0.0731239762767
346.28302002,0.067913790137
346.603485107,0.0726148316804
346.92388916,0.0784567576551
347.244262695,0.0797644448947
347.564575195,0.0790303364114
347.88482666,0.0789569911001
348.20501709,0.0764141705419
348.52520752,0.0805320021514
348.845306396,0.0862161898734
349.165374756,0.0871281882208
349.48538208,0.0807212808759
349.805358887,0.0782259061559
350.125244141,0.0842347085479
350.445129395,0.0849810912224
350.764923096,0.0878129774185
351.084716797,0.08813218984
351.404418945,0.0833073287031
351.724060059,0.0810115719959
352.043670654,0.0831890818199
352.363220215,0.0908316491721
352.682739258,0.0931955014239
353.002227783,0.093356239531
353.321624756,0.0917795016049
353.640991211,0.088992724466
353.960327148,0.0949144336281
354.279602051,0.094467387807
354.598815918,0.0952648855862
354.91796875,0.0947610833967
355.237121582,0.0933039089472
355.556152344,0.0994249974929
355.875183105,0.0982336911909
356.194152832,0.0995638617429
356.513092041,0.100711472151
356.831970215,0.0988759646967
357.150787354,0.0992802144698
357.469543457,0.0970988077599
357.788269043,0.0957583628585
358.106964111,0.10028098456
358.425598145,0.100220005966
358.74420166,0.102151249683
359.062713623,0.106394250409
359.381195068,0.107012096481
359.699645996,0.108170240675
360.018005371,0.100345914148
360.336364746,0.0962290514989
360.654663086,0.106738706418
360.972869873,0.109791027574
361.29107666,0.101819311778
361.609191895,0.108494368032
361.927307129,0.112466078853
362.245361328,0.110349295699
362.563354492,0.107574455468
362.881286621,0.10849485331
363.199188232,0.111863532554
363.517059326,0.105886781785
363.834838867,0.105654484905
364.152587891,0.108535244465
364.470336914,0.103531993829
364.787963867,0.109493253828
365.10559082,0.116638296176
365.423156738,0.110606206755
365.740661621,0.119562729533
366.058105469,0.121030432494
366.375549316,0.121692366986
366.692932129,0.122687957664
367.010253906,0.119694930925
367.327514648,0.119667225008
367.644744873,0.120136734945
367.961914062,0.118857822273
368.279052734,0.11890581716
368.596130371,0.127760700852
368.913146973,0.124736480117
369.230163574,0.121555465162
369.547088623,0.120726263535
369.863983154,0.127950030501
370.180847168,0.1270759019
370.497619629,0.112210114786
370.81439209,0.117031971567
371.131072998,0.131124141372
371.447723389,0.13027353723
371.764343262,0.128648225554
372.080871582,0.134736776039
372.397399902,0.130285644674
372.713867188,0.126703026799
373.030273438,0.139917848635
373.34664917,0.146391455205
373.662963867,0.13644567523
373.979248047,0.128638680003
374.295471191,0.12557137
374.611633301,0.121047024157
374.92779541,0.124223935105
375.243865967,0.131908396904
375.559875488,0.139432457721
375.87588501,0.139760319181
376.191833496,0.132725679265
376.507751465,0.133651794867
376.823577881,0.139401547891
377.139373779,0.142965969406
377.45513916,0.141098290858
377.770843506,0.135998873197
378.086486816,0.1401065183
378.402099609,0.142989814724
378.717712402,0.142096137255
379.033203125,0.146886148854
379.348693848,0.141356364353
379.664123535,0.145712362008
379.979492188,0.145414741437
380.294830322,0.137116847461
380.610107422,0.146653880512
380.925354004,0.153090027351
381.240539551,0.146718271882
381.55569458,0.145985541156
381.870788574,0.149067763101
382.185852051,0.145304419605
382.500854492,0.14674081114
382.815826416,0.155966896717
383.130737305,0.15335431345
383.445617676,0.149906186231
383.760437012,0.149191761611
384.075195312,0.152966918068
384.389953613,0.158122656556
384.704650879,0.149568112273
385.019287109,0.151229670188
385.333862305,0.156520736302
385.648376465,0.153546115371
385.962890625,0.15323475781
386.27734375,0.155770411034
386.59173584,0.163691115628
386.90612793,0.15951291818
387.220458984,0.149809650343
387.534729004,0.155487164883
387.848937988,0.15087412671
388.163116455,0.151658651294
388.477233887,0.15986627502
388.791320801,0.160435714484
389.105377197,0.163022002689
389.419372559,0.160755024667
389.733337402,0.158810808678
390.047241211,0.158480629045
390.361083984,0.152706878924
390.67489624,0.158340461067
390.988647461,0.165306537819
391.302368164,0.162496201367
391.61605835,0.165931788986
391.9296875,0.16335005157
392.243286133,0.164131390743
392.55682373,0.166728443806
392.870300293,0.172803715185
393.183776855,0.179093618185
393.497161865,0.166488198981
393.810546875,0.16308215492
394.123840332,0.157347948071
394.437103271,0.15967228382
394.750335693,0.166338868258
395.06350708,0.151670160142
395.376647949,0.152026755586
395.689727783,0.162086707437
396.0027771,0.160973201731
396.315734863,0.163582259962
396.628723145,0.173792255366
396.941619873,0.179723912368
397.254486084,0.176608405444
397.56729126,0.173431341914
397.880065918,0.165204114511
398.192810059,0.165538061344
398.505493164,0.176346435393
398.818115234,0.168299959072
399.130737305,0.157894734328
399.443267822,0.16393262386
399.755767822,0.167554925321
400.068237305,0.16763570151
400.38067627,0.165598176422
400.693023682,0.163603202489
401.005340576,0.167781436284
401.317626953,0.169500857893
401.629852295,0.169624672775
401.942077637,0.17404692849
402.254211426,0.161121624344
402.566314697,0.157796955143
402.878356934,0.170286309764
403.190368652,0.1671308577
403.502349854,0.166301478634
403.81427002,0.172104294264
404.126159668,0.175680407112
404.437988281,0.174690157952
404.749786377,0.169504425336
405.061523438,0.163725651007
405.373260498,0.165588387782
405.684906006,0.17339628165
405.996520996,0.178183190003
406.308105469,0.175342781328
406.619628906,0.175008215979
406.931121826,0.16593684594
407.242553711,0.160153644139
407.553955078,0.163208450086
407.86529541,0.16055518036
408.176635742,0.164670630068
408.487915039,0.173891641399
408.799133301,0.171590368388
409.110290527,0.165344326266
409.421447754,0.168206786927
409.732513428,0.176218578528
410.043579102,0.186433246493
410.354553223,0.182409177481
410.665527344,0.182373584252
410.97644043,0.184230970097
411.287353516,0.176152928931
411.598144531,0.171642914703
411.908935547,0.172413509365
412.219665527,0.175945884077
412.530395508,0.174125706565
412.841064453,0.175612376194
