Wavelength (nm),Corrected Intensity
187.826095581,1.26619135909
188.173980713,1.26619135909
188.521789551,1.2363086549
188.869552612,-5.31858120956
189.21723938,3.22092517056
189.564849854,2.06887735303
189.912414551,3.36057349974
190.259902954,2.20576199717
190.607330322,1.57866053911
190.954696655,1.6789524244
191.301986694,1.9445249009
191.649215698,1.3230331402
191.996383667,1.52029745744
192.343475342,2.6151083757
192.69052124,3.0329894534
193.037490845,1.72667201767
193.384399414,2.97840549889
193.731231689,-4.80204744342
194.078018188,2.30823446809
194.424728394,1.47814360561
194.771362305,2.04126477858
195.117950439,2.0376804782
195.46446228,3.73557888254
195.810913086,-62.2232670525
196.157302856,5.60578547836
196.503631592,16.0421174721
196.849884033,901.941768302
197.196075439,5.26803252589
197.542205811,5.45594555019
197.888275146,5.2267646856
198.234268188,3.62077775806
198.580215454,6.48450420157
198.926086426,23.1654359888
199.271881104,-37.69000113
199.617630005,-2.61268926586
199.963302612,-5.31086012837
200.308929443,3.96512930984
200.654464722,6.07004166593
200.999954224,-2.1368663312
201.34538269,-2.33754976837
201.690734863,-17.2654218526
202.036026001,-4.03565204327
202.381256104,-1.39772174564
202.726425171,-0.506249758288
203.071517944,-0.661410228268
203.416564941,-0.84406258951
203.761535645,-0.875311743199
204.106445312,-1.08179876679
204.451293945,-2.20827893985
204.796066284,-3.29016633049
205.140777588,-2.01816571264
205.485443115,-1.28462560869
205.830032349,-1.15455691687
206.174545288,-1.28213115956
206.519012451,-0.928632376913
206.863418579,-0.67884107373
207.207748413,-0.50551659954
207.552017212,-0.586112366937
207.896224976,-0.464041446272
208.240371704,-0.76913563762
208.584457397,-0.888801450101
208.928466797,-0.373443113899
209.27243042,-0.549106325617
209.616317749,-0.50266766218
209.960144043,-0.603198357311
210.303894043,-0.866736687245
210.647598267,-0.604769398269
210.991241455,-0.452719180375
211.33480835,-0.411467312893
211.678329468,-0.474067650612
212.021774292,-0.205209366125
212.365158081,-0.0889552861394
212.708480835,-0.345756263405
213.051727295,-0.546694877455
213.394927979,-0.565049280065
213.738067627,-0.627302968827
214.081130981,-0.391608863312
214.424133301,-0.32950746654
214.767074585,-0.3004825042
215.109954834,-0.52427301426
215.452774048,-0.734036378194
215.795532227,-0.535714705006
216.13822937,-0.641854427542
216.48085022,-0.868482311335
216.823425293,-0.682144068892
217.165924072,-0.329052189265
217.508361816,-0.365169952596
217.850738525,-0.405100367329
218.193054199,-0.370091184997
218.535308838,-0.395062682936
218.877502441,-0.36120127175
219.21963501,-0.300840578665
219.561691284,-0.203179205666
219.903686523,-0.168135912835
220.245635986,-0.289386752691
220.587509155,-0.367247460819
220.929321289,-0.239594514486
221.271087646,-0.182595105424
221.61277771,-0.22918278592
221.954406738,-0.271999801229
222.295974731,-0.287073044468
222.637481689,-0.262143040351
222.978912354,-0.254084833616
223.320297241,-0.218417836234
223.661621094,-0.140264486536
224.002868652,-0.173963367734
224.344070435,-0.206457387092
224.685195923,-0.13579734481
225.026275635,-0.105154793068
225.367279053,-0.140748658567
225.708221436,-0.165730945622
226.049102783,-0.119913704592
226.389923096,-0.0899437193544
226.730682373,-0.110839657855
227.071380615,-0.128987012717
227.412033081,-0.106624134518
227.752593994,-0.0676507937938
228.093109131,-0.0965344497259
228.433563232,-0.107250188631
228.773956299,-0.0684510713403
229.11428833,-0.0831109701792
229.454559326,-0.0838363904376
229.794769287,-0.0565099901887
230.134902954,-0.0584637354932
230.474990845,-0.0444021593443
230.815002441,-0.0469351293591
231.154968262,-0.0638308583674
231.494873047,-0.0456468166407
231.834716797,-0.0420482883769
232.174484253,-0.0516736637034
232.514190674,-0.0572690092575
232.853851318,-0.0513746175509
233.193450928,-0.0375343389238
233.532974243,-0.0326532874466
233.872451782,-0.0267248943148
234.211853027,-0.0324446861136
234.551208496,-0.043764446437
234.89050293,-0.0335209197838
235.229721069,-0.035807009084
235.568878174,-0.0387430161687
235.907989502,-0.0336429221232
236.247039795,-0.0362402825671
236.586013794,-0.0257614348899
236.924942017,-0.024621378724
237.263793945,-0.0182074298478
237.602600098,-0.0118452140098
237.941345215,-0.0233013959084
238.280014038,-0.0233194841409
238.618637085,-0.016663115618
238.957199097,-0.017068378883
239.295684814,-0.0217854638647
239.634124756,-0.0231167635553
239.972503662,-0.0158062031212
240.310821533,-0.0162813948508
240.649078369,-0.0207705116043
240.98727417,-0.0207284454422
241.325408936,-0.0207023018875
241.663482666,-0.0234994408966
242.001495361,-0.0204296154823
242.339447021,-0.0136381432393
242.677337646,-0.0151978552613
243.015167236,-0.0210143739571
243.352935791,-0.0259266591898
243.690643311,-0.0235570382851
244.028305054,-0.0213832374797
244.365905762,-0.0213653547196
244.703430176,-0.0190127164193
245.040893555,-0.0221765915478
245.378311157,-0.0210384664915
245.715667725,-0.0138299823804
246.052947998,-0.0159161626665
246.390182495,-0.0147278240292
246.727355957,-0.0152515009193
247.064468384,-0.0172969342094
247.401519775,-0.0193817112672
247.738510132,-0.0178282859227
248.075439453,-0.0149688527893
248.412322998,-0.0131319566105
248.749130249,-0.0151209828509
249.085876465,-0.0183225553362
249.422576904,-0.0146086390468
249.759216309,-0.0139839242807
250.095794678,-0.0117399600336
250.432312012,-0.0115133486989
250.768768311,-0.0180477693305
251.105163574,-0.0192233229935
251.441497803,-0.0136890765628
251.777770996,-0.0121294524391
252.113983154,-0.00644475453732
252.450134277,-0.00748723329987
252.786254883,-0.0134662503807
253.122283936,-0.0111820923201
253.458267212,-0.0129222468426
253.794189453,-0.0177128414915
254.1300354,-0.0180747286178
254.46585083,-0.0158459657118
254.801605225,-0.013133448755
255.137283325,-0.0132623246755
255.472900391,-0.00833435941015
255.80847168,-0.00577984966442
256.143981934,-0.0161455079788
256.479431152,-0.0207779211331
256.814819336,-0.0159934247748
257.150146484,-0.00968679430824
