Wavelength (nm),Corrected Intensity
187.826095581,1.8452666492
188.173980713,1.8452666492
188.521789551,1.40506696277
188.869552612,1.09802482426
189.21723938,1.42672668887
189.564849854,1.90359595448
189.912414551,1.53504509449
190.259902954,2.11924297444
190.607330322,2.80988125596
190.954696655,1.88922888286
191.301986694,1.67615420439
191.649215698,3.53213234156
191.996383667,9.88481003002
192.343475342,5.58325811723
192.69052124,3.23474308859
193.037490845,2.97446058855
193.384399414,4.28257489728
193.731231689,5.10435374282
194.078018188,4.24183596399
194.424728394,5.83890770515
194.771362305,4.22833492477
195.117950439,3.5634983453
195.46446228,6.32986711764
195.810913086,-2.51390077682
196.157302856,-2.24692613799
196.503631592,7.87316047232
196.849884033,-12.0163465699
197.196075439,-10.9246965247
197.542205811,944.495470084
197.888275146,-8.09156011767
198.234268188,-7.17054199606
198.580215454,-3.94283396427
198.926086426,-2.17720304019
199.271881104,-4.06811963032
199.617630005,130.343846951
199.963302612,-5.3654208936
200.308929443,-1.26533301605
200.654464722,-2.26856592851
200.999954224,-4.10946969878
201.34538269,53.7655717749
201.690734863,-7.48843504602
202.036026001,-1.70910266547
202.381256104,-4.30334728972
202.726425171,-3.0731626705
203.071517944,-1.51512258328
203.416564941,-2.88600786157
203.761535645,-1.92180596093
204.106445312,-1.73144729941
204.451293945,-2.42929571999
204.796066284,-1.30755122636
205.140777588,-0.757140504336
205.485443115,-0.58671418323
205.830032349,-0.712961888083
206.174545288,-1.26756132945
206.519012451,-1.07025529051
206.863418579,-0.488269023256
207.207748413,-0.67531396771
207.552017212,-1.2126379617
207.896224976,-0.837161459716
208.240371704,-0.745269908051
208.584457397,-0.924146160279
208.928466797,-0.613584355414
209.27243042,-0.658761574162
209.616317749,-0.693295153997
209.960144043,-0.670272713429
210.303894043,-0.807107006958
210.647598267,-0.728018096918
210.991241455,-0.630520399793
211.33480835,-0.693448846968
211.678329468,-0.770449267771
212.021774292,-0.706538079809
212.365158081,-0.527078687989
212.708480835,-0.550953975029
213.051727295,-0.63066698003
213.394927979,-0.789330646899
213.738067627,-0.806786765049
214.081130981,-0.493303669465
214.424133301,-0.375275556862
214.767074585,-0.489070451483
215.109954834,-0.527624810937
215.452774048,-0.40924614867
215.795532227,-0.474116205469
216.13822937,-0.509461269182
216.48085022,-0.407015781323
216.823425293,-0.369390081617
217.165924072,-0.21095206329
217.508361816,-0.267965770599
217.850738525,-0.427125090296
218.193054199,-0.418922649404
218.535308838,-0.218248625156
218.877502441,-0.201973738214
219.21963501,-0.313849423175
219.561691284,-0.237442888349
219.903686523,-0.269205580274
220.245635986,-0.364525887912
220.587509155,-0.391095979129
220.929321289,-0.322274097347
221.271087646,-0.24841521804
221.61277771,-0.234324497825
221.954406738,-0.157463122847
222.295974731,-0.19900757457
222.637481689,-0.293443624456
222.978912354,-0.257441724336
223.320297241,-0.233386135464
223.661621094,-0.261249803958
224.002868652,-0.24068785176
224.344070435,-0.162137145131
224.685195923,-0.157308840084
225.026275635,-0.177554282267
225.367279053,-0.110840956648
225.708221436,-0.0964549888158
226.049102783,-0.105094672713
226.389923096,-0.0870545963953
226.730682373,-0.0807138610381
227.071380615,-0.090455569144
227.412033081,-0.0989486751527
227.752593994,-0.0909932532874
228.093109131,-0.0941934267203
228.433563232,-0.0505009263286
228.773956299,-0.0382484747882
229.11428833,-0.0671080142868
229.454559326,-0.0792469323802
229.794769287,-0.0927708966084
230.134902954,-0.0859936898565
230.474990845,-0.0673359731799
230.815002441,-0.0753175051927
231.154968262,-0.0693672678699
231.494873047,-0.0510320219985
231.834716797,-0.0587391775511
232.174484253,-0.0505728616735
232.514190674,-0.0337657977953
232.853851318,-0.0416025311692
233.193450928,-0.0471306799791
233.532974243,-0.0536250009835
233.872451782,-0.052357977134
234.211853027,-0.0417061688877
234.551208496,-0.0398107118519
234.89050293,-0.0459779536959
235.229721069,-0.0479685339589
235.568878174,-0.0404345659979
235.907989502,-0.0257055998119
236.247039795,-0.0286177826962
236.586013794,-0.0404954072413
236.924942017,-0.0344615659367
237.263793945,-0.0348254736336
237.602600098,-0.0356519372248
237.941345215,-0.0333052309669
238.280014038,-0.0300873617197
238.618637085,-0.0252801931431
238.957199097,-0.0174619000977
239.295684814,-0.0217011353111
239.634124756,-0.024370183089
239.972503662,-0.021121363563
240.310821533,-0.0189913526568
240.649078369,-0.0175388539025
240.98727417,-0.0233025012202
241.325408936,-0.027438944204
241.663482666,-0.0220015703042
242.001495361,-0.0222837509115
242.339447021,-0.0254934666791
242.677337646,-0.0223108776027
243.015167236,-0.0249405754595
243.352935791,-0.0241245529011
243.690643311,-0.0263703090374
244.028305054,-0.0217837108637
244.365905762,-0.0150481205295
244.703430176,-0.020023919693
245.040893555,-0.0179848862046
245.378311157,-0.0244818808883
245.715667725,-0.0255430450468
246.052947998,-0.0143956135507
246.390182495,-0.0151755487599
246.727355957,-0.014912223423
247.064468384,-0.0148861547199
247.401519775,-0.0192287145711
247.738510132,-0.0192779385736
248.075439453,-0.0154216450849
248.412322998,-0.0177890452789
248.749130249,-0.0234894840866
249.085876465,-0.0215498622342
249.422576904,-0.0178020540948
249.759216309,-0.014908783909
250.095794678,-0.0145967206014
250.432312012,-0.0179830441775
250.768768311,-0.0205001095238
251.105163574,-0.0208540949707
251.441497803,-0.0210746050333
251.777770996,-0.0203809393487
252.113983154,-0.0166135911437
252.450134277,-0.01458047901
252.786254883,-0.0167080382605
253.122283936,-0.0153405678144
253.458267212,-0.0119897182601
253.794189453,-0.0111844705476
254.1300354,-0.0153792117951
254.46585083,-0.0185620271834
254.801605225,-0.0117166673981
255.137283325,-0.0120529781009
255.472900391,-0.014628505994
255.80847168,-0.0141757730522
256.143981934,-0.014416617292
256.479431152,-0.0114470427834
256.814819336,-0.0124256652615
257.150146484,-0.0175907599843
257.485412598,-0.0186892344084
257.820617676,-0.0161297779107
258.155792236,-0.0148169077085
258.490875244,-0.013796296006
258.825927734,-0.0116087676561
259.160888672,-0.0123780336352
259.495819092,-0.0182641056979
259.830688477,-0.0172401253373
260.165496826,-0.0136044383357
260.500244141,-0.0148142922464
260.834899902,-0.0143210067002
261.169555664,-0.0144135803203
261.504119873,-0.0137983394935
261.838623047,-0.0111942038207
262.173065186,-0.00984863874058
262.507446289,-0.0119139740967
262.841796875,-0.0142133938122
263.176086426,-0.0136289370132
263.510314941,-0.0115786794825
263.844451904,-0.0110812323291
264.17855835,-0.00973069553289
264.51260376,-0.00482618697534
264.846588135,-0.00768157739042
265.180511475,-0.0118759844227
265.514373779,-0.0121228402101
265.848205566,-0.0153380297399
266.181945801,-0.0179057955496
266.515625,-0.0141206492493
266.849273682,-0.0100644435643
267.182861328,-0.0129086659721
267.516387939,-0.0143436363169
267.849853516,-0.0125011995512
268.183258057,-0.013104912991
268.516601562,-0.0121955861315
268.849884033,-0.0130211778332
269.183105469,-0.0138400423871
269.516296387,-0.00880572216381
269.84942627,-0.0114130295488
270.1824646,-0.0116225123711
270.515472412,-0.00984028948633
270.848419189,-0.0129269594139
271.181304932,-0.0149796473562
271.514129639,-0.016842122667
271.846923828,-0.0132206784615
272.179626465,-0.016299179007
272.512268066,-0.0168277866277
272.84487915,-0.00834106695274
273.177429199,-0.0124002295372
273.509887695,-0.0136726647954
273.842315674,-0.0105146772236
274.174682617,-0.0156538942069
274.507019043,-0.0165037750048
274.839263916,-0.0161006489945
275.171478271,-0.0144511044072
275.503601074,-0.013204826026
275.835693359,-0.0166261830716
276.167724609,-0.0152031551307
276.499694824,-0.0132329355585
276.831604004,-0.0142822336183
277.163452148,-0.0138877669051
277.495269775,-0.0138159082611
277.82699585,-0.0167311007279
278.158691406,-0.0173121964107
278.490325928,-0.0136883419935
278.821899414,-0.0109413391542
279.153411865,-0.00957623570565
279.484863281,-0.0106662238414
279.816253662,-0.0120515669507
280.147613525,-0.010641262826
280.478912354,-0.00906595597493
280.810119629,-0.0115449058618
281.141296387,-0.0116501729421
281.472412109,-0.00762499138948
281.803497314,-0.00990246066172
282.134490967,-0.0125039429905
282.465454102,-0.0118632833944
282.796325684,-0.00902545138837
283.127166748,-0.00901808955791
283.457946777,-0.0109307515028
283.788696289,-0.0126505252465
284.119354248,-0.0133797205518
284.449951172,-0.0135392982718
284.780517578,-0.0119219121987
285.111022949,-0.0100754317028
285.441467285,-0.00975795661044
285.771850586,-0.0121086663587
286.102172852,-0.0116241498852
286.432434082,-0.00805340460034
286.762664795,-0.014482689398
287.092834473,-0.0148670265421
287.422943115,-0.00882467094227
287.752990723,-0.0062638858029
288.082977295,-0.00941023271818
288.41293335,-0.0138668359316
288.742797852,-0.0158516683918
289.072631836,-0.0137943894639
289.402404785,-0.0127834955682
289.732116699,-0.0149978111657
290.061767578,-0.0138533902184
290.391387939,-0.0134805528355
