Wavelength (nm),Corrected Intensity
187.826095581,1.39596327326
188.173980713,1.39596327326
188.521789551,0.974417920031
188.869552612,0.977905773888
189.21723938,0.832183150929
189.564849854,0.90742364762
189.912414551,1.39023933472
190.259902954,1.48130852008
190.607330322,0.933994195554
190.954696655,1.34244438712
191.301986694,2.46325267826
191.649215698,3.23073094715
191.996383667,2.18701609798
192.343475342,3.58504266516
192.69052124,2.51590652625
193.037490845,1.71456263419
193.384399414,2.01936251155
193.731231689,1.9517302672
194.078018188,2.42027137993
194.424728394,2.36622554383
194.771362305,2.02032768818
195.117950439,3.63134887308
195.46446228,1.6355052913
195.810913086,1.35192315767
196.157302856,3.11987782119
196.503631592,1.68593684903
196.849884033,4.03796574608
197.196075439,-2.7668415765
197.542205811,-11.3191860773
197.888275146,13.2260469479
198.234268188,-12.8237551002
198.580215454,-3.93809503297
198.926086426,-4.94833271858
199.271881104,50.6222159163
199.617630005,118.740050087
199.963302612,8.56911433072
200.308929443,16.0314593618
200.654464722,-2.1285054649
200.999954224,-1.61307955874
201.34538269,-2.15934759693
201.690734863,-1.4375680834
202.036026001,-4.56464873624
202.381256104,13.9838659702
202.726425171,-3.77039889316
203.071517944,-0.7611010184
203.416564941,-0.465533085313
203.761535645,-1.96926277976
204.106445312,120.385525323
204.451293945,-4.07251050904
204.796066284,-2.67619981692
205.140777588,-2.8865238652
205.485443115,-2.15663083405
205.830032349,-2.39143743771
206.174545288,-2.89652573595
206.519012451,-3.51264810866
206.863418579,-1.69519861643
207.207748413,-1.53960666833
207.552017212,-1.18060456423
207.896224976,-1.29636290896
208.240371704,-0.894393910057
208.584457397,-0.76431976141
208.928466797,-2.77837743797
209.27243042,-4.6765775443
209.616317749,-3.44542034507
209.960144043,-2.08122452944
210.303894043,-1.35109031738
210.647598267,-1.44120398312
210.991241455,-1.85288218051
211.33480835,-1.46521906942
211.678329468,-1.28898488165
212.021774292,-0.852360873921
212.365158081,-1.00471406206
212.708480835,-1.48579107685
213.051727295,-1.34158072229
213.394927979,-1.70628906074
213.738067627,-0.989312247527
214.081130981,-0.760701246672
214.424133301,-1.2410852377
214.767074585,-0.693760065337
215.109954834,-0.632601208389
215.452774048,-0.641933837575
215.795532227,-0.481541410591
216.13822937,-0.482119150727
216.48085022,-0.710888950008
216.823425293,-1.11363088865
217.165924072,-0.612283284216
217.508361816,-0.448499285293
217.850738525,-0.453773369787
218.193054199,-0.584684178518
218.535308838,-0.600353162134
218.877502441,-0.50105832505
219.21963501,-0.494506457275
219.561691284,-0.565643394642
219.903686523,-0.446986049326
220.245635986,-0.295702846255
220.587509155,-0.453793209431
220.929321289,-0.411740277566
221.271087646,-0.339132378497
221.61277771,-0.271510472239
221.954406738,-0.292013471509
222.295974731,-0.336098944684
222.637481689,-0.225326063687
222.978912354,-0.248996736036
223.320297241,-0.320309288479
223.661621094,-0.265563502478
224.002868652,-0.189675097837
224.344070435,-0.19883276513
224.685195923,-0.183894723565
225.026275635,-0.153623126259
225.367279053,-0.145299236151
225.708221436,-0.14296313447
226.049102783,-0.17821958069
226.389923096,-0.194797305114
226.730682373,-0.161079078562
227.071380615,-0.117994296097
227.412033081,-0.114391345152
227.752593994,-0.121797130889
228.093109131,-0.0678278760276
228.433563232,-0.0815759821996
228.773956299,-0.105155372513
229.11428833,-0.0745956777398
229.454559326,-0.0836567208937
229.794769287,-0.0755151357193
230.134902954,-0.057750600475
230.474990845,-0.0781309560203
230.815002441,-0.0688870800525
231.154968262,-0.0434475529418
231.494873047,-0.0423452450524
231.834716797,-0.0465111069718
232.174484253,-0.0425598848185
232.514190674,-0.0425936094312
232.853851318,-0.0612580483925
233.193450928,-0.0649872340716
233.532974243,-0.0499419285981
233.872451782,-0.0483869389142
234.211853027,-0.0480681322179
234.551208496,-0.0419830876328
234.89050293,-0.0395577286362
235.229721069,-0.041617285807
235.568878174,-0.0405487134528
235.907989502,-0.0364598067558
236.247039795,-0.0428257664214
236.586013794,-0.0350651652129
236.924942017,-0.0206047853851
237.263793945,-0.0196721003693
237.602600098,-0.0238125986908
237.941345215,-0.0243328592669
238.280014038,-0.0293372167526
238.618637085,-0.0371967470595
238.957199097,-0.0335432717361
239.295684814,-0.0254184969882
239.634124756,-0.0186808731571
239.972503662,-0.0213144376711
240.310821533,-0.0245728397105
240.649078369,-0.0204864983982
240.98727417,-0.0221185564871
241.325408936,-0.0184510002463
241.663482666,-0.0106732965985
242.001495361,-0.0118964353044
242.339447021,-0.0194880500111
242.677337646,-0.0189535153719
243.015167236,-0.0156279658968
243.352935791,-0.0126659364259
243.690643311,-0.0157842231532
244.028305054,-0.0200882135676
244.365905762,-0.0206008800199
244.703430176,-0.0202142362248
245.040893555,-0.0182913239267
245.378311157,-0.0209475491249
245.715667725,-0.0116373639496
246.052947998,-0.00965678727789
246.390182495,-0.0192470341743
246.727355957,-0.0153318571747
247.064468384,-0.00993551508194
247.401519775,-0.0160203192904
247.738510132,-0.0202443628706
248.075439453,-0.0207730978696
248.412322998,-0.0155553899589
248.749130249,-0.0164286644391
249.085876465,-0.015941350271
249.422576904,-0.0137066190898
249.759216309,-0.0225530573933
250.095794678,-0.0231490315935
250.432312012,-0.0186248036037
250.768768311,-0.0170145804734
251.105163574,-0.0146649030159
251.441497803,-0.0126121731071
251.777770996,-0.0153525664701
252.113983154,-0.0175221744997
252.450134277,-0.0133492539454
252.786254883,-0.0103605326531
253.122283936,-0.013157645836
253.458267212,-0.0139774194928
253.794189453,-0.0129634825403
254.1300354,-0.0129817900752
254.46585083,-0.0109629233209
254.801605225,-0.0132201699009
255.137283325,-0.0136179197295
255.472900391,-0.0124436982627
