Wavelength (nm),Corrected Intensity
187.826095581,3.45706003375
188.173980713,3.45706003375
188.521789551,1.5265545351
188.869552612,1.07920509541
189.21723938,1.15195919526
189.564849854,1.3283562135
189.912414551,1.78934676369
190.259902954,2.11708175712
190.607330322,1.31327206666
190.954696655,1.77513514008
191.301986694,2.18684900309
191.649215698,2.12814418269
191.996383667,3.18638635755
192.343475342,2.70902789213
192.69052124,1.84596686356
193.037490845,3.73316961843
193.384399414,3.77770738955
193.731231689,1.8472796021
194.078018188,2.07739071289
194.424728394,4.25559536412
194.771362305,9.5223455635
195.117950439,1.78807051183
195.46446228,2.35527959899
195.810913086,5.22910727651
196.157302856,6.59923391388
196.503631592,-9.96893719805
196.849884033,87.7042558479
197.196075439,3.92902001215
197.542205811,2.16876636244
197.888275146,3.92887473058
198.234268188,73.6947206697
198.580215454,16.692013534
198.926086426,5.7504800872
199.271881104,25.3972145163
199.617630005,21.8890957065
199.963302612,42.0552163966
200.308929443,-2.76196359863
200.654464722,10.7557314481
200.999954224,3.24339705139
201.34538269,16.7358848389
201.690734863,-239.889346187
202.036026001,-23.160350977
202.381256104,-3.52753951943
202.726425171,-3.02170823833
203.071517944,-25.7928380286
203.416564941,-6.60768416548
203.761535645,-1.68746482704
204.106445312,-1.90947105829
204.451293945,-1.55188100493
204.796066284,-1.72465490695
205.140777588,-1.60400622343
205.485443115,-1.51248675337
205.830032349,-1.45980501627
206.174545288,-1.26278090559
206.519012451,-1.98286211784
206.863418579,-2.26676888019
207.207748413,-1.82498408405
207.552017212,-1.55378871832
207.896224976,-1.38053136249
208.240371704,-1.21651578452
208.584457397,-1.14559267303
208.928466797,-1.58546258497
209.27243042,-1.81661710163
209.616317749,-1.05990275317
209.960144043,-0.754421666109
210.303894043,-0.61256951515
210.647598267,-0.872932475818
210.991241455,-1.08693247101
211.33480835,-1.01294176602
211.678329468,-1.09895995643
212.021774292,-0.811584644935
212.365158081,-1.06093318045
212.708480835,-1.78742619289
213.051727295,-1.62143234887
213.394927979,-1.68796431291
213.738067627,-0.966731826127
214.081130981,-0.809726630265
214.424133301,-0.587207987077
214.767074585,-0.395473097304
215.109954834,-0.566810664908
215.452774048,-0.577590762905
215.795532227,-0.773659703375
216.13822937,-0.713717661657
216.48085022,-0.714411523151
216.823425293,-1.06912462463
217.165924072,-0.877955901099
217.508361816,-0.706118260447
217.850738525,-0.69618344121
218.193054199,-0.625256051764
218.535308838,-0.524914516134
218.877502441,-0.454867668452
219.21963501,-0.437653673385
219.561691284,-0.296805047474
219.903686523,-0.21133237891
220.245635986,-0.32107377468
220.587509155,-0.405660900552
220.929321289,-0.393997248
221.271087646,-0.320574348233
221.61277771,-0.23243680812
221.954406738,-0.224376862675
222.295974731,-0.241181217629
222.637481689,-0.244450951871
222.978912354,-0.289916405981
223.320297241,-0.27132316991
223.661621094,-0.225122049913
224.002868652,-0.273248695767
224.344070435,-0.263857985785
224.685195923,-0.22274755364
225.026275635,-0.204302214017
225.367279053,-0.234795618805
225.708221436,-0.229660583895
226.049102783,-0.166630203222
226.389923096,-0.203708659003
226.730682373,-0.170555027495
227.071380615,-0.105243501125
227.412033081,-0.126693638593
227.752593994,-0.118345931772
228.093109131,-0.133612455677
228.433563232,-0.120659770432
228.773956299,-0.0863940161067
229.11428833,-0.0969879634395
229.454559326,-0.0901405012352
229.794769287,-0.0820724160592
230.134902954,-0.0850955966815
230.474990845,-0.0889201104949
230.815002441,-0.0915535896255
231.154968262,-0.0753065465468
231.494873047,-0.0613319236995
231.834716797,-0.0631267704965
232.174484253,-0.0561450231198
232.514190674,-0.0680096226621
232.853851318,-0.0698863116259
233.193450928,-0.0604587598207
233.532974243,-0.0565523108816
233.872451782,-0.0503905616504
234.211853027,-0.0502467849381
234.551208496,-0.0670300173682
234.89050293,-0.0728670696435
235.229721069,-0.0572027858049
235.568878174,-0.0484455894867
235.907989502,-0.0522077616868
236.247039795,-0.054170411815
236.586013794,-0.0358000172954
236.924942017,-0.0387524952633
237.263793945,-0.0554218113512
237.602600098,-0.0493755744967
237.941345215,-0.0379575131922
238.280014038,-0.0399411807753
238.618637085,-0.0423147151512
238.957199097,-0.0331168076387
239.295684814,-0.0241053283499
239.634124756,-0.0292548868724
239.972503662,-0.0413017897257
240.310821533,-0.0452405479824
240.649078369,-0.0333176762648
240.98727417,-0.0276120005927
241.325408936,-0.028751044142
241.663482666,-0.0256882192342
242.001495361,-0.0287767133163
242.339447021,-0.0330622373986
242.677337646,-0.0305543967131
243.015167236,-0.0248460067109
243.352935791,-0.025775038751
243.690643311,-0.0278451890911
244.028305054,-0.0293392153851
244.365905762,-0.0312105805021
244.703430176,-0.025859555065
245.040893555,-0.0225656026398
245.378311157,-0.0276095147453
245.715667725,-0.0278325578794
246.052947998,-0.026276271151
246.390182495,-0.0281703537739
246.727355957,-0.0352423347176
247.064468384,-0.0276086612733
247.401519775,-0.0202280511866
247.738510132,-0.0237241762208
248.075439453,-0.0214440229518
248.412322998,-0.0216893403364
248.749130249,-0.0238412011232
249.085876465,-0.0247903023497
249.422576904,-0.0260440772139
249.759216309,-0.0267411974001
250.095794678,-0.0264070196472
250.432312012,-0.024099381454
250.768768311,-0.0200454534968
251.105163574,-0.0182849402485
251.441497803,-0.0180217914741
251.777770996,-0.0148079428913
252.113983154,-0.0175891164734
252.450134277,-0.0240983793826
252.786254883,-0.0218376906387
253.122283936,-0.0196839932352
253.458267212,-0.0214163146901
253.794189453,-0.019644302329
254.1300354,-0.0207210606833
254.46585083,-0.01890596174
254.801605225,-0.013630465287
255.137283325,-0.0150494569505
255.472900391,-0.0149272239449
255.80847168,-0.014252216849
256.143981934,-0.0140041112406
256.479431152,-0.0162799475948
256.814819336,-0.0212633982272
257.150146484,-0.0213728369491
257.485412598,-0.0155067244615
257.820617676,-0.0133234598733
258.155792236,-0.0162563941682
258.490875244,-0.0172987550978
258.825927734,-0.019410318949
259.160888672,-0.019484752861
259.495819092,-0.0170334027431
259.830688477,-0.0157787715993
260.165496826,-0.0158260310514
260.500244141,-0.0163791601652
260.834899902,-0.0148699921805
261.169555664,-0.0167261281674
261.504119873,-0.012641442789
261.838623047,-0.0122892944918
262.173065186,-0.0162853993402
262.507446289,-0.0143645653687
262.841796875,-0.0137710042354
263.176086426,-0.0140063181174
263.510314941,-0.0122403803368
263.844451904,-0.0128687844947
264.17855835,-0.0158661204603
264.51260376,-0.0170045351718
264.846588135,-0.0150479910521
265.180511475,-0.0149169647728
265.514373779,-0.0170420990762
265.848205566,-0.017587908655
266.181945801,-0.015788080545
266.515625,-0.0129198520908
266.849273682,-0.0123613724177
267.182861328,-0.0144033663182
267.516387939,-0.0148603973064
267.849853516,-0.0138873388347
268.183258057,-0.0151937534402
268.516601562,-0.0149470789364
268.849884033,-0.0142284452988
269.183105469,-0.0133200141142
269.516296387,-0.0144641387628
269.84942627,-0.0161897186875
270.1824646,-0.0133658856856
270.515472412,-0.0160543100262
270.848419189,-0.0172620014312
271.181304932,-0.0187990242675
271.514129639,-0.0182379569857
271.846923828,-0.0122005164384
272.179626465,-0.0190405117661
272.512268066,-0.0201345550023
272.84487915,-0.0115953397041
273.177429199,-0.0133253873772
273.509887695,-0.0190183895087
273.842315674,-0.0167126483022
274.174682617,-0.0139090938985
274.507019043,-0.0176641478117
274.839263916,-0.0173068567904
275.171478271,-0.0165123285998
275.503601074,-0.0168000078417
275.835693359,-0.0182138939406
276.167724609,-0.0190254699439
276.499694824,-0.0194822210289
276.831604004,-0.0176288686899
277.163452148,-0.0157069582832
277.495269775,-0.019187824744
277.82699585,-0.0159065096209
278.158691406,-0.010847593726
278.490325928,-0.0158195850575
278.821899414,-0.0196855087441
279.153411865,-0.0150248352623
279.484863281,-0.0161944965579
279.816253662,-0.0174568933618
280.147613525,-0.0167707381002
280.478912354,-0.0185919372236
280.810119629,-0.0180833954146
281.141296387,-0.0179413564317
281.472412109,-0.0164961136815
281.803497314,-0.015456679174
282.134490967,-0.0163445343922
282.465454102,-0.0143085214764
282.796325684,-0.0150788964161
283.127166748,-0.0195840489501
283.457946777,-0.0157995347706
283.788696289,-0.0129668980453
284.119354248,-0.0163680288787
284.449951172,-0.0165451466716
284.780517578,-0.0144971790673
285.111022949,-0.0159458592503
285.441467285,-0.0144296140815
285.771850586,-0.0109243187907
286.102172852,-0.00904886827808
286.432434082,-0.00907027667837
286.762664795,-0.0100975431565
287.092834473,-0.0123284322693
287.422943115,-0.0126734901936
287.752990723,-0.00814243536416
288.082977295,-0.00906381670964
288.41293335,-0.0146328587854
288.742797852,-0.0147908922031
289.072631836,-0.0147479940676
289.402404785,-0.0129043913153
289.732116699,-0.0123262026014
290.061767578,-0.01390174856
290.391387939,-0.0129930590703
290.720947266,-0.0139846036912
291.050415039,-0.0148994128369
291.379852295,-0.0110709069974
291.709228516,-0.0110627143034
292.038574219,-0.0139538735681
292.367858887,-0.0137252479607
292.697052002,-0.0149679620049
293.0262146,-0.0130681112666
293.35534668,-0.0117036049381
293.684387207,-0.0162165608059
294.013366699,-0.0175697495399
294.342315674,-0.0114649695078
294.671203613,-0.0124002332657
295.000030518,-0.0124469733944
295.328796387,-0.00983874360665
295.657531738,-0.0119254127143
295.986175537,-0.0154178623523
296.314788818,-0.0139371610743
296.643341064,-0.0134999506779
296.971832275,-0.0153795479646
297.300292969,-0.0138525420107
297.628662109,-0.0123426154011
297.957000732,-0.0115393195588
298.28527832,-0.0138522768202
298.613525391,-0.0130505524426
298.941680908,-0.0108880349654
299.269775391,-0.0143928186676
299.597839355,-0.015451319191
299.925842285,-0.0130721861607
300.25378418,-0.0142018925582
300.581695557,-0.0122503046714
300.909545898,-0.0127393793105
301.237304688,-0.0151414918313
301.565063477,-0.0139668419737
301.892730713,-0.0142066615463
302.220336914,-0.0175299180521
302.547912598,-0.0186022859293
302.875427246,-0.0168680963204
303.202880859,-0.0131664375543
303.530273438,-0.014652433312
303.857635498,-0.0156515240289
304.184936523,-0.0116073904926
304.512176514,-0.0166944735707
304.839355469,-0.0168628921811
305.166503906,-0.0101492156365
305.493591309,-0.0115285309488
305.820617676,-0.0121367618107
306.147583008,-0.0150529082247
306.474487305,-0.0150484311372
306.801361084,-0.0104980127769
307.128173828,-0.0108827432987
307.454925537,-0.0130791023164
307.781616211,-0.0146135994904
308.108276367,-0.0137713896959
308.434844971,-0.0100639296629
308.761383057,-0.0100343566516
309.087890625,-0.0165992757334
309.414306641,-0.0167165803767
309.740692139,-0.0124413996055
310.067016602,-0.00771508659335
310.393280029,-0.00698607827907
310.719512939,-0.0112226911456
311.045654297,-0.0117763643343
311.371765137,-0.00749577548462
311.697814941,-0.00665433394488
312.023834229,-0.00850643650191
312.34979248,-0.00886941788784
312.67565918,-0.00835804014379
313.001525879,-0.00352317506377
313.327301025,-3.71697316481e-05
313.653045654,-0.00166759870189
313.978729248,-0.00213227107754
314.304351807,-0.00596680234502
314.62991333,-0.00747479904531
314.955444336,-0.00256222500855
315.280914307,-0.00061830596544
315.606323242,-0.0017667779705
315.93170166,-0.000910192291227
316.257019043,0.00113553808065
316.582275391,-0.00218050944966
316.907470703,-0.00238069891107
317.23260498,0.000748975595337
317.55770874,-0.00013625198454
317.882751465,0.000557571421909
318.207733154,0.00115259561688
318.532684326,0.00233648401544
318.857543945,0.00385663438253
319.182403564,0.00373907394617
319.507171631,0.005245177387
319.83190918,0.0001650844302
320.156555176,-0.00227635122034
320.481201172,0.000875580751418
320.805786133,0.00170308751011
321.130279541,0.00548846403525
321.454742432,0.00519486640028
321.779174805,0.00300189428759
322.103515625,0.00391603712929
322.42779541,0.00684367755341
322.752075195,0.00671484349005
323.076293945,0.0079104762895
323.400421143,0.00830965918587
323.72454834,0.0105945201265
324.048553467,0.0112957171801
324.372558594,0.0115338158544
324.696472168,0.0143641580075
325.020385742,0.0145702099537
325.344238281,0.0168880970709
325.667999268,0.012392910256
325.991729736,0.013931788739
326.315429688,0.0201665210099
326.639038086,0.0172621796958
326.962615967,0.0179752620958
327.286132812,0.019441180421
327.609588623,0.0217602179913
327.933044434,0.0248932006834
328.256378174,0.0241539374369
328.579711914,0.0260442298818
328.902954102,0.0279090984726
329.226165771,0.032346015725
329.549316406,0.036379028903
329.872436523,0.0373233141093
330.195495605,0.0359071370051
330.518493652,0.0377463058228
330.841430664,0.03995473267
331.164367676,0.0418230224329
331.487182617,0.0402508556045
331.809997559,0.0446795193609
332.132751465,0.0496595516239
332.455444336,0.0421158202043
332.778076172,0.0412668950878
